HLE,HLN,HLZ
-0.011056,-0.010934,0.010086
-0.011185,-0.01187,0.011069
0.010681,-0.011413,0.010004
0.012175,0.012602,-0.010865
0.012062,0.018721,-0.010811
0.010462,0.023915,-0.010911
-0.010183,0.02595,-0.010392
-0.011633,0.023041,0.012657
-0.010722,0.01472,0.014343
0.010901,-0.012247,0.013578
0.011141,-0.025992,0.011102
0.010055,-0.037383,-0.010604
-0.010531,-0.045535,0.010837
0.010403,-0.049868,0.010776
0.010049,-0.049728,0.010339
-0.011407,-0.044543,0.012117
-0.010934,-0.034577,0.010495
-0.010475,-0.021674,0.010269
-0.011074,-0.014996,-0.010572
-0.01128,-0.034143,-0.015334
-0.011294,-0.054385,-0.021187
-0.01125,-0.067834,-0.027689
-0.011186,-0.068861,-0.034148
-0.011152,-0.05715,-0.039838
-0.011279,-0.038367,-0.044177
-0.011646,-0.021223,-0.046695
-0.012127,-0.012894,-0.047004
-0.012439,-0.01529,-0.044893
-0.012332,-0.023904,-0.040516
-0.011768,-0.030301,-0.034466
-0.010949,-0.026468,-0.027648
-0.010117,0.020316,-0.020936
0.017628,0.05446,-0.014902
0.029849,0.086905,-0.011177
0.041466,0.113593,-0.012256
0.050596,0.133902,-0.012037
0.055821,0.148557,-0.011191
0.056891,0.156831,-0.011099
0.054984,0.155371,-0.013412
0.05205,0.139212,-0.019126
0.04969,0.104754,-0.027579
0.048291,0.052849,-0.035978
0.046969,-0.071679,-0.039942
0.044505,-0.118856,-0.035235
0.040329,-0.139558,-0.019625
0.034587,-0.127984,0.039405
0.027549,-0.087517,0.075374
0.018921,-0.031479,0.109929
-0.026819,0.019862,0.139494
-0.050198,0.046855,0.160971
-0.076378,0.039044,0.170948
-0.103634,-0.053039,0.165428
-0.129881,-0.099682,0.140985
-0.152857,-0.124735,0.096897
-0.170405,-0.124601,0.037189
-0.180987,-0.106175,-0.028809
-0.184305,-0.07998,-0.088687
-0.181707,-0.05257,-0.131245
-0.175811,-0.023402,-0.151484
-0.168957,0.012839,-0.154002
-0.161169,0.059499,-0.152214
-0.148879,0.112285,-0.163068
-0.125708,0.159775,-0.198056
-0.086038,0.189221,-0.25547
-0.029074,0.194591,-0.319137
0.039411,0.181121,-0.364192
0.108645,0.161883,-0.368493
0.167627,0.149629,-0.323288
0.2096,0.148944,-0.236807
0.23306,0.153109,-0.130433
0.240092,0.148423,-0.028883
0.233841,0.122052,0.05007
0.217266,0.068517,0.101066
0.194049,-0.099801,0.130525
0.1693,-0.197007,0.150243
0.147861,-0.294139,0.169984
0.131925,-0.386464,0.193631
0.120377,-0.465886,0.219723
0.110226,-0.516958,0.245508
0.099344,-0.517394,0.27066
0.088046,-0.444691,0.297326
0.077709,-0.288423,0.327493
0.06847,-0.061126,0.359499
0.058452,0.200455,0.38534
0.044539,0.445533,0.390258
0.024104,0.628995,0.355332
-0.034228,0.728386,0.263874
-0.063009,0.746689,0.110324
-0.08291,0.703764,-0.091201
-0.089533,0.622451,-0.304183
-0.082211,0.517005,-0.478318
-0.064004,0.389803,-0.566405
-0.0406,0.235664,-0.543645
-0.019645,0.051408,-0.419522
-0.010899,-0.155265,-0.233262
-0.024579,-0.363174,-0.036433
-0.065811,-0.54213,0.130027
-0.128999,-0.663272,0.251343
-0.19729,-0.708704,0.33644
-0.248617,-0.674816,0.403783
-0.267255,-0.57105,0.465392
-0.253143,-0.41668,0.519046
-0.221344,-0.236486,0.554297
-0.193107,-0.055289,0.563123
-0.183118,0.107333,0.544815
-0.191502,0.240094,0.503089
-0.207076,0.339362,0.437734
-0.216616,0.404406,0.338939
-0.212899,0.432789,0.191482
-0.197083,0.420295,-0.013897
-0.173936,0.365209,-0.268118
